# GOES-R ABI FM4 SRF ch 047 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.4498830       22228.0      0.45414800
  0.4499030       22227.0      0.45633500
  0.4499240       22226.0      0.45850500
  0.4499440       22225.0      0.46065800
  0.4499640       22224.0      0.46279200
  0.4499840       22223.0      0.46490700
  0.4500050       22222.0      0.46700300
  0.4500250       22221.0      0.46910000
  0.4500450       22220.0      0.47120500
  0.4500650       22219.0      0.47331700
  0.4500860       22218.0      0.47543500
  0.4501060       22217.0      0.47755900
  0.4501260       22216.0      0.47968700
  0.4501460       22215.0      0.48181800
  0.4501670       22214.0      0.48395200
  0.4501870       22213.0      0.48608600
  0.4502070       22212.0      0.48822000
  0.4502270       22211.0      0.49035300
  0.4502480       22210.0      0.49248400
  0.4502680       22209.0      0.49461100
  0.4502880       22208.0      0.49673500
  0.4503080       22207.0      0.49885300
  0.4503290       22206.0      0.50096400
  0.4503490       22205.0      0.50306800
  0.4503690       22204.0      0.50516300
  0.4503900       22203.0      0.50724900
  0.4504100       22202.0      0.50932400
  0.4504300       22201.0      0.51138700
  0.4504500       22200.0      0.51343800
  0.4504710       22199.0      0.51547400
  0.4504910       22198.0      0.51749600
  0.4505110       22197.0      0.51950100
  0.4505320       22196.0      0.52148900
  0.4505520       22195.0      0.52345900
  0.4505720       22194.0      0.52541000
  0.4505930       22193.0      0.52734000
  0.4506130       22192.0      0.52924900
  0.4506330       22191.0      0.53113500
  0.4506530       22190.0      0.53299800
  0.4506740       22189.0      0.53483600
  0.4506940       22188.0      0.53664900
  0.4507140       22187.0      0.53843400
  0.4507350       22186.0      0.54019200
  0.4507550       22185.0      0.54192100
  0.4507750       22184.0      0.54361900
  0.4507960       22183.0      0.54528700
  0.4508160       22182.0      0.54692200
  0.4508360       22181.0      0.54852400
  0.4508570       22180.0      0.55009100
  0.4508770       22179.0      0.55162400
  0.4508970       22178.0      0.55311900
  0.4509180       22177.0      0.55457700
  0.4509380       22176.0      0.55599600
  0.4509580       22175.0      0.55737600
  0.4509790       22174.0      0.55871400
  0.4509990       22173.0      0.56001100
  0.4510190       22172.0      0.56126000
  0.4510400       22171.0      0.56245900
  0.4510600       22170.0      0.56360900
  0.4510800       22169.0      0.56471400
  0.4511010       22168.0      0.56577500
  0.4511210       22167.0      0.56679600
  0.4511410       22166.0      0.56777800
  0.4511620       22165.0      0.56872500
  0.4511820       22164.0      0.56963800
  0.4512020       22163.0      0.57052100
  0.4512230       22162.0      0.57138300
  0.4512430       22161.0      0.57223000
  0.4512640       22160.0      0.57306100
  0.4512840       22159.0      0.57387900
  0.4513040       22158.0      0.57468200
  0.4513250       22157.0      0.57547300
  0.4513450       22156.0      0.57625000
  0.4513650       22155.0      0.57701600
  0.4513860       22154.0      0.57776900
  0.4514060       22153.0      0.57851200
  0.4514270       22152.0      0.57924400
  0.4514470       22151.0      0.57996500
  0.4514670       22150.0      0.58067800
  0.4514880       22149.0      0.58138100
  0.4515080       22148.0      0.58207500
  0.4515280       22147.0      0.58276200
  0.4515490       22146.0      0.58344100
  0.4515690       22145.0      0.58411400
  0.4515900       22144.0      0.58478000
  0.4516100       22143.0      0.58544000
  0.4516300       22142.0      0.58609500
  0.4516510       22141.0      0.58674500
  0.4516710       22140.0      0.58739100
  0.4516920       22139.0      0.58803300
  0.4517120       22138.0      0.58867200
  0.4517320       22137.0      0.58930900
  0.4517530       22136.0      0.58994300
  0.4517730       22135.0      0.59057600
  0.4517940       22134.0      0.59120800
  0.4518140       22133.0      0.59183900
  0.4518340       22132.0      0.59247100
  0.4518550       22131.0      0.59310300
  0.4518750       22130.0      0.59373600
  0.4518960       22129.0      0.59437100
  0.4519160       22128.0      0.59500800
  0.4519370       22127.0      0.59564800
  0.4519570       22126.0      0.59629100
  0.4519770       22125.0      0.59693800
  0.4519980       22124.0      0.59758900
  0.4520180       22123.0      0.59824100
  0.4520390       22122.0      0.59888600
  0.4520590       22121.0      0.59952600
  0.4520800       22120.0      0.60016100
  0.4521000       22119.0      0.60079000
  0.4521200       22118.0      0.60141500
  0.4521410       22117.0      0.60203400
  0.4521610       22116.0      0.60265000
  0.4521820       22115.0      0.60326100
