case_id,palette,base_luminance,sun_elevation_deg,slope_toward_sun_deg,local_mu,illumination_factor,albedo_r,albedo_g,albedo_b,albedo_y,input_r,input_g,input_b,input_y,identity_r,identity_g,identity_b,identity_y,sza_applied_gain,sza_r,sza_g,sza_b,sza_y,toe_applied_gain,toe_r,toe_g,toe_b,toe_y,combined_sza_gain,combined_toe_gain,combined_effective_gain,combined_r,combined_g,combined_b,combined_y,max_chroma_error
53,forest,1e-06,30,20,0.766044443119,0.808156443358,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,5.72998045489e-07,9.2419039595e-07,3.51192350461e-07,8.08156443358e-07,5.72998045489e-07,9.2419039595e-07,3.51192350461e-07,8.08156443358e-07,1.6,9.16796872782e-07,1.47870463352e-06,5.61907760738e-07,1.29305030937e-06,1.5,8.59497068233e-07,1.38628559392e-06,5.26788525691e-07,1.21223466504e-06,1.6,1.5,2.4,1.37519530917e-06,2.21805695028e-06,8.42861641106e-07,1.93957546406e-06,5.55111512313e-17
54,forest,1e-06,33,-20,0.224951054344,0.364459864562,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,2.58408865968e-07,4.16788493498e-07,1.58379627529e-07,3.64459864562e-07,2.58408865968e-07,4.16788493498e-07,1.58379627529e-07,3.64459864562e-07,1.59009058864,4.10893505798e-07,6.62731460965e-07,2.51837955167e-07,5.79524200578e-07,1.5,3.87613298953e-07,6.25182740246e-07,2.37569441294e-07,5.46689796843e-07,1.59009058864,1.5,2.38513588296,6.16340258697e-07,9.94097191447e-07,3.7775693275e-07,8.69286300867e-07,2.77555756156e-17
55,forest,1e-06,33,0,0.544639035015,0.626604008712,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,4.4427397101e-07,7.16570920984e-07,2.72296949974e-07,6.26604008712e-07,4.4427397101e-07,7.16570920984e-07,2.72296949974e-07,6.26604008712e-07,1.59009058864,7.06435860081e-07,1.13941267755e-06,4.32976817469e-07,9.96357137059e-07,1.5,6.66410956515e-07,1.07485638148e-06,4.08445424961e-07,9.39906013068e-07,1.59009058864,1.5,2.38513588296,1.05965379012e-06,1.70911901633e-06,6.49465226204e-07,1.49453570559e-06,2.77555756156e-17
56,forest,1e-06,33,20,0.798635510047,0.834881118239,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,5.91946340215e-07,9.54752161637e-07,3.62805821422e-07,8.34881118239e-07,5.91946340215e-07,9.54752161637e-07,3.62805821422e-07,8.34881118239e-07,1.59009058864,9.41248304556e-07,1.5181424267e-06,5.76894122147e-07,1.32753660875e-06,1.5,8.87919510322e-07,1.43212824245e-06,5.44208732133e-07,1.25232167736e-06,1.59009058864,1.5,2.38513588296,1.41187245683e-06,2.27721364006e-06,8.65341183221e-07,1.99130491312e-06,5.55111512313e-17
57,forest,1e-06,40,-20,0.342020143326,0.460456517527,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,3.26472289795e-07,5.26568209347e-07,2.00095919552e-07,4.60456517527e-07,3.26472289795e-07,5.26568209347e-07,2.00095919552e-07,4.60456517527e-07,1.34729635533,4.39854926158e-07,7.09443429288e-07,2.69588503129e-07,6.20371387854e-07,1.5,4.89708434693e-07,7.8985231402e-07,3.00143879328e-07,6.90684776291e-07,1.34729635533,1.5,2.020944533,6.59782389238e-07,1.06416514393e-06,4.04382754694e-07,9.30557081781e-07,1.11022302463e-16
58,forest,1e-06,40,0,0.642787609687,0.707085839943,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,5.01337095819e-07,8.08608219063e-07,3.07271123244e-07,7.07085839943e-07,5.01337095819e-07,8.08608219063e-07,3.07271123244e-07,7.07085839943e-07,1.34729635533,6.7544964199e-07,1.08943490644e-06,4.13985264446e-07,9.52654175063e-07,1.5,7.52005643728e-07,1.21291232859e-06,4.60906684866e-07,1.06062875991e-06,1.34729635533,1.5,2.020944533,1.01317446299e-06,1.63415235965e-06,6.20977896669e-07,1.4289812626e-06,2.77555756156e-17
59,forest,1e-06,40,20,0.866025403784,0.890140831103,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,6.31126510992e-07,1.01794598547e-06,3.86819474479e-07,8.90140831103e-07,6.31126510992e-07,1.01794598547e-06,3.86819474479e-07,8.90140831103e-07,1.34729635533,8.50314448014e-07,1.37147491615e-06,5.21160468138e-07,1.19928349748e-06,1.5,9.46689766488e-07,1.52691897821e-06,5.80229211719e-07,1.33521124665e-06,1.34729635533,1.5,2.020944533,1.27547167202e-06,2.05721237423e-06,7.81740702207e-07,1.79892524622e-06,2.77555756156e-17
60,forest,1e-06,50,-20,0.5,0.59,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,4.18321043676e-07,6.74711360767e-07,2.56390317091e-07,5.9e-07,4.18321043676e-07,6.74711360767e-07,2.56390317091e-07,5.9e-07,1.13051587485,4.72918580658e-07,7.62771904287e-07,2.89853323629e-07,6.6700436616e-07,1.5,6.27481565513e-07,1.01206704115e-06,3.84585475637e-07,8.85e-07,1.13051587485,1.5,1.69577381227,7.09377870987e-07,1.14415785643e-06,4.34779985443e-07,1.00050654924e-06,5.55111512313e-17
61,forest,1e-06,50,0,0.766044443119,0.808156443358,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,5.72998045489e-07,9.2419039595e-07,3.51192350461e-07,8.08156443358e-07,5.72998045489e-07,9.2419039595e-07,3.51192350461e-07,8.08156443358e-07,1.13051587485,6.47783386682e-07,1.044811914e-06,3.97028527321e-07,9.13633688576e-07,1.5,8.59497068233e-07,1.38628559392e-06,5.26788525691e-07,1.21223466504e-06,1.13051587485,1.5,1.69577381227,9.71675080022e-07,1.567217871e-06,5.95542790981e-07,1.37045053286e-06,2.77555756156e-17
62,forest,1e-06,50,20,0.939692620786,0.950547949044,7.09018718094e-07,1.14357857757e-06,4.34559859477e-07,1e-06,6.73956288319e-07,1.08702627148e-06,4.13069983163e-07,9.50547949044e-07,6.73956288319e-07,1.08702627148e-06,4.13069983163e-07,9.50547949044e-07,1.13051587485,7.61918282897e-07,1.22890045629e-06,4.66982173389e-07,1.0746095462e-06,1.5,1.01093443248e-06,1.63053940722e-06,6.19604974744e-07,1.42582192357e-06,1.13051587485,1.5,1.69577381227,1.14287742435e-06,1.84335068443e-06,7.00473260083e-07,1.6119143193e-06,5.55111512313e-17
