id,nstr,L_over_E_sr1,rho_f,BRF,R,T_down,atmospheric_absorptance
44,32,0.00046126796345777744,0.0014491160453352788,0.0016732950777226582,0.0034206886539945775,0.996579311339999,6.0064175855245594e-12
44,68,0.00046127840275866688,0.0014491488413662615,0.0016733329473172906,0.0034205777947144546,0.99657942091190677,1.2933787374436179e-09
45,32,0.0013522620090549785,0.0042482563933756946,0.0043349555034445861,0.0028877233190063249,0.99711227619323628,4.8775739003303897e-10
45,68,0.00135236350413306,0.0042485752495673712,0.0043352808669054809,0.0028877280411066177,0.99711227139674596,5.6214743970883774e-10
46,32,0.0012893198229926748,0.0040505176840414797,0.0041331813102464081,0.0028877233190063249,0.99711227619323628,4.8775739003303897e-10
46,68,0.0012892550096194535,0.0040503140668243127,0.0041329735375758292,0.0028877280411066177,0.99711227139674596,5.6214743970883774e-10
47,32,0.0012741949599958688,0.0040030015255641616,0.0040846954342491446,0.0028877233190063249,0.99711227619323628,4.8775739003303897e-10
47,68,0.0012742655768076387,0.0040032233748212376,0.004084921811042079,0.0028877280411066177,0.99711227139674596,5.6214743970883774e-10
48,32,0.00062916756220652431,0.0019765881913050161,0.0020169267258214451,0.0028877233190063249,0.99711227619323628,4.8775739003303897e-10
48,68,0.00062918231519284605,0.0019766345391784628,0.00201697401956986,0.0028877280411066177,0.99711227139674596,5.6214743970883774e-10
49,32,0.00063717843685138825,0.0020017550962381494,0.0020426072410593362,0.0028877233190063249,0.99711227619323628,4.8775739003303897e-10
49,68,0.00063717375499702138,0.0020017403877588651,0.0020425922324070053,0.0028877280411066177,0.99711227139674596,5.6214743970883774e-10
50,32,0.00065455052956378784,0.0020563311350809046,0.0020982970766131679,0.0028877233190063249,0.99711227619323628,4.8775739003303897e-10
50,68,0.00065455686264860266,0.0020563510310536333,0.0020983173786261566,0.0028877280411066177,0.99711227139674596,5.6214743970883774e-10
51,32,0.00047649410635003999,0.0014969503839881192,0.0015275003918246114,0.0028877233190063249,0.99711227619323628,4.8775739003303897e-10
51,68,0.00047651325982893454,0.001497010556416705,0.001527561792261944,0.0028877280411066177,0.99711227139674596,5.6214743970883774e-10
52,32,0.00047649410635003999,0.0014969503839881192,0.0015275003918246114,0.0028877233190063249,0.99711227619323628,4.8775739003303897e-10
52,68,0.00047651325982893454,0.001497010556416705,0.001527561792261944,0.0028877280411066177,0.99711227139674596,5.6214743970883774e-10
53,32,0.00047649410635003999,0.0014969503839881192,0.0015275003918246114,0.0028877233190063249,0.99711227619323628,4.8775739003303897e-10
53,68,0.00047651325982893454,0.001497010556416705,0.001527561792261944,0.0028877280411066177,0.99711227139674596,5.6214743970883774e-10
54,32,0.051637077898729483,0.16222266457949241,1.0814844305299496,0.15343474463900408,0.84656525510533842,2.5565749517397762e-10
54,68,0.051628513149082365,0.16219575762492119,1.0813050508328079,0.15344068643074565,0.84655931284961372,7.1964068037999596e-10
55,32,0.0048774854037096048,0.015323072312285541,0.10215381541523695,0.15343474463900408,0.84656525510533842,2.5565749517397762e-10
55,68,0.0048769513146245495,0.015321394421939569,0.10214262947959712,0.15344068643074565,0.84655931284961372,7.1964068037999596e-10
56,32,0.0046393193787204832,0.014574851677845033,0.097165677852300222,0.15343474463900408,0.84656525510533842,2.5565749517397762e-10
56,68,0.0046388273174327501,0.014573305821718376,0.09715537214478917,0.15344068643074565,0.84655931284961372,7.1964068037999596e-10
57,32,0.0059541022540181617,0.018705363899945884,0.12470242599963924,0.15343474463900408,0.84656525510533842,2.5565749517397762e-10
57,68,0.0059556652265993319,0.018710274123124652,0.12473516082083101,0.15344068643074565,0.84655931284961372,7.1964068037999596e-10
58,32,0.0023046484462759288,0.0072402666279275888,0.04826844418618393,0.15343474463900408,0.84656525510533842,2.5565749517397762e-10
58,68,0.0023044296517184789,0.007239579264553259,0.048263861763688395,0.15344068643074565,0.84655931284961372,7.1964068037999596e-10
59,32,0.0021719337600891835,0.006823331144779835,0.045488874298532232,0.15343474463900408,0.84656525510533842,2.5565749517397762e-10
59,68,0.0021719676403673602,0.0068234375828128569,0.045489583885419051,0.15344068643074565,0.84655931284961372,7.1964068037999596e-10
60,32,0.0015575421309157061,0.0048931629161413741,0.032621086107609165,0.15343474463900408,0.84656525510533842,2.5565749517397762e-10
60,68,0.0015579819462380555,0.0048945446367270034,0.032630297578180027,0.15344068643074565,0.84655931284961372,7.1964068037999596e-10
61,32,0.0015575421309157061,0.0048931629161413741,0.032621086107609165,0.15343474463900408,0.84656525510533842,2.5565749517397762e-10
61,68,0.0015579819462380555,0.0048945446367270034,0.032630297578180027,0.15344068643074565,0.84655931284961372,7.1964068037999596e-10
62,32,0.0015575421309157061,0.0048931629161413741,0.032621086107609165,0.15343474463900408,0.84656525510533842,2.5565749517397762e-10
62,68,0.0015579819462380555,0.0048945446367270034,0.032630297578180027,0.15344068643074565,0.84655931284961372,7.1964068037999596e-10
63,32,0.02967540884187778,0.093228046409916818,0.31076015469972273,0.058534018130423006,0.94146598206508469,-1.9550772112353343e-10
63,68,0.02967032175363989,0.093212064850880502,0.31070688283626835,0.058532315839512378,0.9414676840571784,1.033092500435373e-10
64,32,0.0050286515297443581,0.015797974703307949,0.052659915677693167,0.058534018130423006,0.94146598206508469,-1.9550772112353343e-10
64,68,0.0050284326911010308,0.015797287201433752,0.052657624004779177,0.058532315839512378,0.9414676840571784,1.033092500435373e-10
65,32,0.0049355439723609475,0.015505468685038538,0.05168489561679513,0.058534018130423006,0.94146598206508469,-1.9550772112353343e-10
65,68,0.0049352396708856961,0.015504512693759411,0.051681708979198035,0.058532315839512378,0.9414676840571784,1.033092500435373e-10
66,32,0.0046487180767346321,0.014604378558479592,0.048681261861598643,0.058534018130423006,0.94146598206508469,-1.9550772112353343e-10
66,68,0.0046493937148285088,0.014606501138151802,0.048688337127172673,0.058532315839512378,0.9414676840571784,1.033092500435373e-10
67,32,0.0023505339193116179,0.0073844200929230018,0.024614733643076675,0.058534018130423006,0.94146598206508469,-1.9550772112353343e-10
67,68,0.0023504501979786764,0.0073841570745984851,0.024613856915328285,0.058532315839512378,0.9414676840571784,1.033092500435373e-10
68,32,0.0023424156150460432,0.0073589156878826664,0.024529718959608888,0.058534018130423006,0.94146598206508469,-1.9550772112353343e-10
68,68,0.0023424821050325355,0.0073591245723357681,0.024530415241119229,0.058532315839512378,0.9414676840571784,1.033092500435373e-10
69,32,0.0015840926316301777,0.0049765737741350883,0.016588579247116961,0.058534018130423006,0.94146598206508469,-1.9550772112353343e-10
69,68,0.0015844367548001066,0.0049776548689576669,0.016592182896525556,0.058532315839512378,0.9414676840571784,1.033092500435373e-10
70,32,0.0015840926316301777,0.0049765737741350883,0.016588579247116961,0.058534018130423006,0.94146598206508469,-1.9550772112353343e-10
70,68,0.0015844367548001066,0.0049776548689576669,0.016592182896525556,0.058532315839512378,0.9414676840571784,1.033092500435373e-10
